0 : 872728, 455537, 435345, 701258, 695756, 706771, 708177, 561813, 934876, 932085
1 : 987636, 880462, 420802, 942339, 400194, 249062, 880592, 706838, 413071, 413247
2 : 861530, 406324, 406273, 551743, 861882, 551661, 408855, 408462, 408764, 669835
3 : 831905, 546496, 207768, 123985, 546470, 889039, 191115, 48044, 125539, 970797
4 : 368246, 416604, 107281, 112586, 371420, 716433, 175336, 748193, 748397, 340871
5 : 682308, 669622, 947299, 943689, 27746, 896005, 460733, 220473, 67875, 187470
6 : 60092, 703786, 982409, 595673, 511412, 59540, 880346, 652078, 982379, 402219
7 : 762237, 5447, 762217, 476215, 207868, 107468, 569178, 807599, 618842, 906750
8 : 724587, 695175, 803977, 176970, 724549, 323464, 376277, 323160, 325865, 376328
9 : 866737, 358802, 716433, 803100, 807785, 821938, 181605, 181997, 177646, 178811
10 : 703494, 807092, 988918, 432201, 806980, 753170, 297239, 992617, 320547, 316210
11 : 923610, 910776, 609725, 824098, 609704, 689860, 672308, 824256, 762035, 4697
12 : 224306, 564042, 13183, 564079, 191546, 564008, 931688, 923810, 563997, 390776
13 : 990875, 861121, 868867, 522080, 988161, 565610, 795468, 596084, 134090, 522078
14 : 409216, 409300, 433429, 562875, 562464, 482225, 563664, 368880, 601274, 454220
15 : 234721, 502068, 43943, 106809, 806446, 332655, 918194, 969865, 409722, 970094
16 : 352400, 563318, 511690, 685252, 217222, 426178, 23370, 798456, 796217, 796844
17 : 481816, 862676, 862392, 865734, 579505, 803788, 724211, 117181, 882972, 394163
18 : 126762, 122907, 701657, 897908, 635668, 466326, 170737, 25262, 434884, 247250
19 : 629123, 905999, 226575, 868610, 921304, 394974, 258797, 193620, 272436, 222535
20 : 481713, 928637, 448233, 860624, 541161, 601801, 82246, 929092, 666481, 587404
21 : 554601, 234950, 566609, 214475, 214449, 30046, 105025, 440896, 4457, 4490
22 : 482791, 281276, 483146, 633279, 4784, 558357, 4957, 426465, 68360, 31629
23 : 290169, 176512, 526788, 219735, 452900, 931784, 452484, 363583, 686808, 364790
24 : 292781, 279275, 242430, 4623, 188771, 279489, 784790, 804007, 4554, 4630
25 : 465858, 814205, 514508, 292181, 514619, 381318, 814403, 292469, 87978, 719083
26 : 515955, 321539, 9899, 514206, 475114, 910741, 525190, 10021, 426756, 426883
27 : 366495, 176129, 291938, 363739, 717127, 278725, 955277, 5963, 955290, 291918
28 : 571604, 515173, 678649, 103965, 724824, 905060, 210568, 678265, 422521, 725057
29 : 786368, 638091, 640564, 792959, 678014, 793183, 556974, 555280, 555262, 5453
30 : 736536, 140175, 826344, 599948, 551649, 172473, 528396, 825845, 540700, 534527
31 : 749867, 401938, 401031, 703702, 401179, 4870, 5330, 4962, 4995, 5559
32 : 502522, 599126, 684695, 787559, 133114, 497454, 70085, 69173, 330332, 5300
33 : 646457, 100515, 39929, 615911, 676649, 996246, 994880, 676916, 994843, 995079
34 : 68317, 364021, 845487, 238380, 364563, 707409, 188171, 540894, 154168, 149480
35 : 393434, 641127, 15970, 791495, 76102, 392768, 845383, 6707, 5866, 5841
36 : 72336, 685009, 580180, 707838, 316027, 72420, 76101, 6708, 5867, 5842
37 : 441231, 189623, 4997, 745448, 925739, 107024, 33766, 808138, 35716, 5184
38 : 132200, 284610, 160369, 137232, 978240, 5341, 6187, 5177, 5500, 5023
39 : 23749, 689683, 869342, 458649, 587405, 415493, 690413, 750411, 477601, 720244
40 : 379937, 632378, 736313, 474658, 678598, 5163, 5214, 4867, 4773, 8307
41 : 779153, 877285, 924202, 832734, 807850, 304642, 543266, 995354, 950473, 672663
42 : 325817, 112971, 106646, 176619, 684403, 356305, 280744, 312344, 279441, 353533
43 : 16223, 113009, 700737, 903061, 695647, 323021, 698380, 698353, 5144, 6302
44 : 746174, 905952, 994393, 669498, 477668, 379564, 754136, 477919, 740214, 754244
45 : 482497, 37599, 826999, 21980, 780322, 339933, 175843, 103857, 341048, 339510
46 : 535790, 369606, 478548, 289779, 998162, 417152, 997994, 750523, 657906, 5880
47 : 5641, 129673, 389019, 138708, 866052, 395011, 112116, 575286, 88744, 676288
48 : 68544, 287220, 533961, 151506, 151236, 151333, 122253, 5750, 104988, 5213
49 : 296791, 5138, 789691, 79696, 79580, 168390, 789068, 79548, 189094, 5084
50 : 758834, 575049, 356987, 29422, 238731, 412388, 412765, 6627, 5012, 5653
51 : 405826, 56891, 86102, 774030, 898134, 863669, 571831, 571827, 6192, 6123
52 : 541539, 517274, 315815, 336721, 781199, 892861, 781593, 339633, 352562, 353210
53 : 862947, 459172, 101249, 745993, 745960, 323246, 8612, 339510, 233832, 351987
54 : 952895, 603713, 906435, 951184, 863411, 870851, 411892, 446585, 113250, 112794
55 : 583247, 427728, 38397, 39351, 38490, 683190, 39257, 38460, 235088, 228527
56 : 105292, 79528, 84208, 419768, 279393, 312604, 279070, 307829, 79553, 308262
57 : 469532, 562323, 916109, 225733, 214355, 469634, 966411, 5211, 556125, 966916
58 : 462136, 949157, 237441, 383164, 172684, 381601, 536562, 716064, 626572, 7237
59 : 830132, 830147, 672523, 673996, 768289, 672413, 768167, 6612, 6316, 6834
60 : 311418, 336785, 399367, 227388, 864283, 509171, 411641, 615794, 421775, 5278
61 : 781951, 848323, 103322, 816034, 566368, 47079, 101592, 8564, 777151, 8402
62 : 654280, 423938, 449099, 890256, 825006, 655178, 838480, 838648, 838412, 6560
63 : 989396, 682414, 512491, 590708, 694080, 439221, 7094, 5989, 6413, 6321
64 : 901459, 422008, 675309, 397755, 546683, 641183, 617044, 848657, 476004, 5635
